,technology,count
0,充电桩,7237
1,车联网,4909
2,充电站,3470
3,5G,3343
4,纯电动乘用车,2884
5,磷酸铁锂,2588
6,控制器,2573
7,三元锂电池,1611
8,磷酸铁锂电池,1580
9,胎压监测,1513
10,电池回收,1410
11,电解液,1383
12,三元材料,1315
13,无线充电,1263
14,激光雷达,1151
15,共享汽车,1128
16,负极材料,1034
17,复合材料,902
18,语音控制,804
19,储能电池,721
20,插电式混合动力乘用车,684
21,V2X,673
22,热管理,670
23,永磁同步电机,593
24,催化剂,584
25,毫米波雷达,543
26,纯电动商用车,484
27,固态电池,446
28,纯电动专用车,421
29,测试设备,381
30,高精度地图,364
31,逆变器,356
32,电动助力转向,353
33,执行器,348
34,电机控制器,344
35,电池梯次利用,330
36,锂电设备,325
37,软包电池,323
38,锰酸锂电池,306
39,电堆,284
40,圆柱电池,268
41,V2V,268
42,燃料电池乘用车,257
43,插电式混合动力商用车,248
44,湿法隔膜,241
45,整车控制器,230
46,轮毂电机,213
47,系统芯片,181
48,增程器,178
49,方形电池,174
50,三元前驱体,167
51,硅碳负极,159
52,V2I,158
53,质子交换膜,149
54,手势识别,146
55,高精度定位,146
56,车载充电机,144
57,石墨烯电池,140
58,干法隔膜,129
59,铝塑膜,129
60,储氢罐,126
61,车载操作系统,123
62,石墨负极,117
63,超声波雷达,116
64,TSP,112
65,燃料电池商用车,106
66,电池管理系统（BMS）,105
67,车载摄像头,104
68,换电设备,102
69,极耳,100
70,电动转向,89
71,锂电铜箔,85
72,多传感器融合,85
73,交流异步电机,82
74,高级驾驶辅助系统（ADAS）,80
75,域控制器,79
76,钴酸锂电池,77
77,双极板,75
78,CMOS传感器,74
79,智能驾驶舱,69
80,线控转向,58
81,永磁材料,47
82,空气压缩机,46
83,薄膜电容,43
84,V2P,42
85,惯性导航,39
86,高压线束,38
87,汽车碳纤维,27
88,T-Box,21
89,AIoT,19
90,热泵空调,18
91,热泵空调,18
92,流量传感器,18
93,车载人机交互,17
94,高压配电盒,16
95,氢气循环泵,16
96,DC/DC变换器,15
97,插电式混合动力专用车,15
98,气体扩散层,15
99,完全自动驾驶系统,15
100,三元811电池,14
101,燃料电池控制系统,13
102,定位传感器,11
103,高压零部件,9
104,高度自动驾驶系统,9
105,电动刹车,8
106,铝合金铸件,7
107,燃料电池驱动系统,7
108,液态储氢,7
109,智能车载信息娱乐系统,7
110,智能仪表盘,7
111,V2R,7
112,三元622电池,6
113,电动空调系统,6
114,充电整体解决方案,6
115,加氢设备,6
116,边缘智能,6
117,镁合金铸件,5
118,抬头显示HUD,5
119,感知芯片,3
120,SiC电控,2
121,混合动力控制系统,2
122,RTK差分,2
123,有条件自动驾驶系统,1
124,无钴材料,0
125,三元NCA电池,0
126,三元523电池,0
127,IGBT电控,0
128,增程式混合动力商用车,0
129,燃料电池特种车,0
130,电堆附件,0
131,燃料电池热管理系统,0
132,固态储氢,0
133,有机物液态体储氢,0
134,车姿传感器,0
135,流媒体中央后视镜,0
136,智驾互联,0
