,technology,count
0,5G,1345
1,充电桩,1280
2,车联网,1213
3,纯电动乘用车,663
4,控制器,513
5,三元锂电池,491
6,充电站,478
7,磷酸铁锂,461
8,激光雷达,403
9,V2X,372
10,电池回收,369
11,磷酸铁锂电池,367
12,共享汽车,337
13,永磁同步电机,328
14,热管理,296
15,胎压监测,292
16,语音控制,275
17,无线充电,254
18,毫米波雷达,231
19,电堆,217
20,电解液,169
21,高精度地图,168
22,固态电池,149
23,电池梯次利用,133
24,催化剂,125
25,三元材料,120
26,插电式混合动力乘用车,110
27,储能电池,105
28,复合材料,95
29,软包电池,94
30,负极材料,92
31,锰酸锂电池,87
32,轮毂电机,87
33,逆变器,86
34,域控制器,86
35,电机控制器,84
36,高精度定位,82
37,超声波雷达,81
38,燃料电池乘用车,74
39,V2V,70
40,质子交换膜,69
41,燃料电池商用车,65
42,方形电池,64
43,双极板,64
44,圆柱电池,62
45,纯电动专用车,62
46,执行器,62
47,增程器,56
48,纯电动商用车,56
49,电动助力转向,55
50,多传感器融合,52
51,高级驾驶辅助系统（ADAS）,49
52,储氢罐,46
53,整车控制器,42
54,测试设备,41
55,智驾互联,34
56,高压线束,33
57,V2I,33
58,车载操作系统,33
59,线控转向,30
60,热泵空调,29
61,热泵空调,29
62,电池管理系统（BMS）,28
63,车载充电机,24
64,智能驾驶舱,23
65,交流异步电机,21
66,车载摄像头,20
67,惯性导航,19
68,AIoT,19
69,插电式混合动力商用车,18
70,手势识别,18
71,三元前驱体,17
72,锂电设备,17
73,系统芯片,17
74,空气压缩机,16
75,TSP,15
76,无钴材料,13
77,硅碳负极,13
78,完全自动驾驶系统,13
79,V2P,13
80,石墨负极,12
81,电动转向,12
82,气体扩散层,11
83,T-Box,11
84,湿法隔膜,10
85,铝塑膜,10
86,薄膜电容,9
87,钴酸锂电池,8
88,DC/DC变换器,8
89,高压零部件,8
90,氢气循环泵,8
91,燃料电池驱动系统,8
92,车载人机交互,8
93,极耳,7
94,燃料电池控制系统,7
95,干法隔膜,5
96,三元811电池,5
97,换电设备,5
98,加氢设备,5
99,边缘智能,5
100,液态储氢,4
101,CMOS传感器,4
102,高度自动驾驶系统,4
103,永磁材料,3
104,电动刹车,3
105,插电式混合动力专用车,3
106,定位传感器,3
107,石墨烯电池,2
108,混合动力控制系统,2
109,IGBT电控,2
110,流量传感器,2
111,智能仪表盘,2
112,V2R,2
113,电动空调系统,1
114,高压配电盒,1
115,燃料电池热管理系统,1
116,固态储氢,1
117,感知芯片,1
118,抬头显示HUD,1
119,锂电铜箔,0
120,三元NCA电池,0
121,三元622电池,0
122,三元523电池,0
123,SiC电控,0
124,铝合金铸件,0
125,镁合金铸件,0
126,汽车碳纤维,0
127,充电整体解决方案,0
128,增程式混合动力商用车,0
129,燃料电池特种车,0
130,电堆附件,0
131,有机物液态体储氢,0
132,车姿传感器,0
133,RTK差分,0
134,有条件自动驾驶系统,0
135,智能车载信息娱乐系统,0
136,流媒体中央后视镜,0
